,Trial 1,Trial 2,Trial 3,Triton Trial 1,Triton Trial 2,Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
349,30.322,28.379,20.571666,7.206333,7.265333,7.263999
350,30.316666,28.442666,20.595333,7.212,7.260333,7.250666
351,30.273666,28.478,20.573666,7.218999,7.246999,7.245333
352,30.259666,28.448,20.567666,7.222333,7.242999,7.255
353,30.223666,28.382666,20.54,7.217,7.238,7.265333
354,30.187,28.368666,20.542333,7.214333,7.245333,7.267333
355,30.188666,28.371666,20.551,7.218333,7.247999,7.263999
356,30.214333,28.351666,20.567333,7.225666,7.249999,7.265999
357,30.217333,28.331,20.574333,7.228333,7.244333,7.265333
358,30.195666,28.329,20.562,7.228666,7.241,7.265
359,30.173,28.341,20.538666,7.229333,7.244666,7.264666
360,30.143666,28.334333,20.509666,7.226666,7.248666,7.261
361,30.109333,28.31,20.484666,7.222,7.252333,7.257666
362,30.097666,28.316,20.471,7.222333,7.252333,7.252666
363,30.126,28.328,20.477666,7.223666,7.253,7.251666
364,30.177,28.333333,20.486,7.221666,7.251333,7.251666
365,30.163,28.305333,20.474,7.217666,7.245666,7.251666
366,30.141333,28.291666,20.444,7.225333,7.243666,7.252
367,30.062666,28.27,20.410333,7.232333,7.240333,7.252333
368,30.018333,28.245666,20.403,7.235,7.251333,7.261333
369,30.007,28.231333,20.389,7.222,7.252999,7.275999
370,30.056666,28.244333,20.371,7.215333,7.256666,7.275666
371,30.067333,28.268333,20.307666,7.215666,7.243333,7.280666
372,30.054,28.262666,20.287,7.222666,7.235333,7.266333
373,30.004666,28.282666,20.287333,7.228999,7.236666,7.266333
374,29.949666,28.257,20.307,7.221333,7.250666,7.260333
375,29.957,28.247,20.368333,7.221666,7.266333,7.261333
376,29.908333,28.219333,20.368,7.222666,7.267333,7.261333
377,29.939666,28.233333,20.393,7.230333,7.262,7.254
378,29.889666,28.196,20.280333,7.230666,7.259999,7.26
379,29.924333,28.144333,20.252666,7.223333,7.260333,7.267333
380,29.914333,28.144666,20.239333,7.215999,7.260333,7.268666
381,29.944666,28.16,20.284,7.213333,7.254666,7.261333
382,29.953666,28.177,20.272333,7.220333,7.257999,7.259333
383,29.993666,28.151333,20.257666,7.227666,7.259666,7.265
384,30.042333,28.134666,20.235666,7.228999,7.259333,7.273666
385,30.057333,28.118333,20.200333,7.223999,7.259,7.276
386,30.055333,28.082,20.174333,7.221666,7.259666,7.272333
387,30.057333,28.09,20.184666,7.218666,7.26,7.260333
388,30.067,28.113666,20.199,7.219666,7.255333,7.256666
389,30.019,28.108666,20.195,7.221333,7.247999,7.265333
390,29.907333,28.061333,20.160666,7.220666,7.243333,7.276
391,29.819333,27.990333,20.133,7.217,7.247,7.279
392,29.796333,27.988,20.150333,7.210666,7.255666,7.271666
393,29.817666,28.054333,20.160333,7.210666,7.260999,7.264333
394,29.86,28.052,20.17,7.218333,7.257666,7.259333
395,29.865333,27.985666,20.130333,7.226333,7.249666,7.26
396,29.83,27.897333,20.096333,7.231666,7.242666,7.258
397,29.787,27.923666,20.088333,7.231666,7.242999,7.249
398,29.785666,27.968333,20.111,7.231666,7.246333,7.244
399,29.776666,28.001,20.083,7.231,7.251666,7.245666
400,29.796,27.975333,20.072,7.223333,7.249666,7.252333
401,29.798333,27.964,19.977333,7.214333,7.243333,7.251
402,29.786,27.968666,19.972,7.205666,7.244333,7.244666
403,29.712333,27.996,19.946333,7.205333,7.254333,7.26
404,29.737333,28.090666,19.932,7.206,7.260999,7.268333
405,29.809666,28.077666,19.932,7.214999,7.260666,7.275333
406,29.909,28.050333,19.924666,7.214999,7.266333,7.253666
407,29.853333,27.931,19.955,7.215666,7.267666,7.244666
408,29.792666,27.930333,19.903,7.207333,7.267333,7.244
409,29.688,27.944,19.914333,7.213666,7.260333,7.251333
410,29.653666,27.964,19.934666,7.226333,7.266333,7.252999
411,29.675666,27.962333,20.026666,7.234999,7.269,7.253333
412,29.693666,27.953333,20.024333,7.23,7.267666,7.246333
413,29.690333,27.960333,20.018333,7.222333,7.258,7.242999
414,29.605333,27.946,19.956,7.217333,7.243,7.243333
415,29.599666,27.926333,19.901,7.220999,7.236333,7.249666
416,29.612,27.903666,19.877333,7.222333,7.237333,7.248333
417,29.629333,27.891,19.874666,7.225666,7.255666,7.245
418,29.659666,27.889666,19.903666,7.227666,7.256,7.245666
419,29.683333,27.863666,19.902666,7.224333,7.250333,7.254333
420,29.698,27.838,19.853666,7.218,7.249999,7.261333
421,29.684333,27.84,19.813,7.214333,7.255999,7.257
422,29.658333,27.85,19.799,7.218,7.266666,7.247333
423,29.63,27.845333,19.802333,7.222333,7.267333,7.243666
424,29.574666,27.831,19.799,7.221666,7.260333,7.245
425,29.56,27.871333,19.759,7.221666,7.251666,7.242666
426,29.531,27.879666,19.783666,7.222333,7.246,7.239
427,29.538333,27.887333,19.812,7.222666,7.249666,7.249333
428,29.518666,27.870333,19.82,7.221666,7.264333,7.263333
429,29.523333,27.879333,19.809666,7.218,7.277666,7.266333
430,29.551,27.842333,19.776666,7.222999,7.281,7.257333
431,29.548666,27.848666,19.81,7.23,7.264333,7.251
432,29.561,27.906,19.793666,7.228,7.244666,7.251333
433,29.565,27.965333,19.767666,7.22,7.239333,7.259333
434,29.540333,27.931333,19.708,7.214,7.238666,7.260666
435,29.564,27.877333,19.702,7.214666,7.252666,7.276333
436,29.490333,27.813333,19.653,7.214666,7.246,7.284666
437,29.481333,27.857333,19.632666,7.214666,7.245333,7.292
438,29.424666,27.852,19.598333,7.208666,7.237333,7.282666
439,29.462666,27.857666,19.665333,7.207666,7.251333,7.268333
440,29.46,27.804666,19.708666,7.207,7.268,7.260333
441,29.428333,27.782666,19.734333,7.214,7.269666,7.261333
442,29.347,27.779333,19.695333,7.221666,7.262,7.263
443,29.316,27.791,19.666333,7.217,7.247999,7.263666
444,29.304,27.789,19.659,7.221,7.25,7.262
445,29.331333,27.795,19.669666,7.217,7.253,7.271333
446,29.343666,27.773666,19.657666,7.219333,7.258666,7.271
447,29.389333,27.751666,19.631333,7.221333,7.254666,7.262333
448,29.41,27.727333,19.595666,7.227,7.251666,7.255
449,29.408666,27.727333,19.601333,7.226666,7.255,7.257666
450,29.355,27.768,19.616333,7.223333,7.263333,7.263999
451,29.313333,27.818,19.633333,7.222666,7.271999,7.267
452,29.321333,27.823333,19.643666,7.223,7.273,7.268333
453,29.357333,27.787,19.637333,7.219333,7.261666,7.268666
454,29.412666,27.751333,19.623666,7.214666,7.248333,7.265999
