,31 Trial 1,31 Trial 2 ,31 Trial 3,31 Triton Trial 1,31 Triton Trial 2 ,31 Triton Trial 3
Time ,Intensity ,Intensity,Intensity,Intensity ,Intensity,Intensity
147,11.717666,26.632,12.121666,12.418,12.361666,13.091666
148,11.713666,26.589666,12.125333,12.405,12.363333,13.090333
149,11.699333,26.580666,12.122333,12.396,12.337333,13.067
150,11.705,26.530666,12.106333,12.396,12.284333,13.042666
151,11.667666,26.511666,12.059333,12.375666,12.248666,13.024
152,11.638,26.474,12.043333,12.357333,12.236333,13.039
153,11.603333,26.41,12.054,12.363666,12.222,13.051
154,11.619666,26.360333,12.087,12.339,12.235,13.001333
155,11.646666,26.326666,12.104333,12.317,12.252,12.965333
156,11.659666,26.365,12.054,12.29,12.289666,12.948
157,11.627666,26.328333,12.061,12.284,12.279333,12.959333
158,11.619666,26.248333,12.062666,12.287333,12.303333,12.937
159,11.607,26.162333,12.074666,12.259,12.29,12.943
160,11.602,26.139666,12.016,12.262,12.315333,12.975666
161,11.629666,26.142333,11.987,12.213666,12.285,12.996666
162,11.625,26.111666,12.001,12.188666,12.278,12.98
163,11.615666,26.124666,12.012333,12.158,12.245666,12.980666
164,11.568666,26.098666,11.993,12.168333,12.246333,12.997666
165,11.581666,26.021,11.994666,12.173,12.246333,12.959333
166,11.589333,25.891666,12.01,12.167666,12.252666,12.923
167,11.576666,25.789666,12.021,12.14,12.238666,12.915
168,11.556333,25.743333,12.005666,12.110333,12.224333,12.954666
169,11.545,25.706666,11.993666,12.069333,12.208333,12.941333
170,11.527,25.694666,11.975,12.044333,12.192,12.907333
171,11.494666,25.666,11.948666,12.044666,12.167666,12.889
172,11.482,25.622333,11.919333,12.053,12.158666,12.899666
173,11.499666,25.583333,11.904333,12.023333,12.183333,12.915666
174,11.52,25.583,11.907,11.956333,12.218666,12.910333
175,11.511666,25.635666,11.907666,11.913333,12.231,12.886
176,11.474333,25.649666,11.907666,11.907666,12.202333,12.826333
177,11.451333,25.634666,11.902,11.935666,12.169333,12.791
178,11.455333,25.548333,11.902,11.961333,12.16,12.796666
179,11.490333,25.460666,11.893333,11.970333,12.150666,12.792333
180,11.490333,25.390666,11.886,11.923333,12.151333,12.767333
181,11.458333,25.358,11.857,11.815,12.129333,12.767333
182,11.431,25.324,11.850333,11.777,12.145666,12.783666
183,11.426,25.322666,11.812666,11.757333,12.148,12.811333
184,11.436666,25.311666,11.853666,11.794333,12.15,12.795
185,11.435666,25.351,11.832333,11.793333,12.127666,12.799333
186,11.430333,25.37,11.84,11.793333,12.121666,12.782
187,11.428333,25.318333,11.771666,11.811333,12.160666,12.76
188,11.407,25.208,11.808333,11.778,12.165333,12.761
189,11.392,25.118333,11.813333,11.778,12.166666,12.751333
190,11.389666,25.087,11.838333,11.741666,12.115666,12.734
191,11.401333,25.067333,11.785333,11.743,12.119,12.712333
192,11.394333,25.039333,11.768666,11.739666,12.112666,12.720333
193,11.382333,25.005666,11.750333,11.732333,12.131,12.734333
194,11.395666,24.970666,11.769666,11.723333,12.127333,12.747
195,11.408,24.935,11.726,11.709666,12.135333,12.76
196,11.405,24.950666,11.704,11.712,12.124,12.781666
197,11.362,24.950333,11.670666,11.696333,12.121333,12.757333
198,11.324666,24.912666,11.694333,11.680666,12.116,12.735666
199,11.315666,24.827,11.691,11.637666,12.095666,12.700333
200,11.323666,24.777,11.663333,11.586666,12.064666,12.694666
201,11.338666,24.749333,11.638,11.538666,12.044333,12.708666
202,11.354666,24.756333,11.623666,11.520666,12.046333,12.736
203,11.357666,24.762333,11.6,11.526333,12.052666,12.764
204,11.335666,24.746,11.558,11.529666,12.043,12.768
205,11.291333,24.704666,11.528,11.524,12.037333,12.753333
206,11.258333,24.631666,11.535333,11.499666,12.039666,12.739333
207,11.268,24.589666,11.564333,11.46,12.023333,12.725666
208,11.288,24.558,11.562666,11.426666,12.033333,12.72
209,11.307666,24.554666,11.544,11.425666,12.055666,12.73
210,11.292666,24.542333,11.523,11.453666,12.081333,12.706666
211,11.266,24.551,11.493666,11.468333,12.067333,12.696
212,11.242333,24.53,11.481,11.475666,12.03,12.648666
213,11.228666,24.518333,11.477666,11.509333,12.021,12.647
214,11.237333,24.464333,11.505,11.499333,12.031,12.689333
215,11.247,24.416333,11.515,11.479333,12.030333,12.720666
216,11.271666,24.298,11.507666,11.420333,12.036,12.73
217,11.305666,24.242333,11.487333,11.413333,12.019,12.699333
218,11.287666,24.205,11.483,11.391333,12.036666,12.659666
219,11.285666,24.171,11.469,11.403333,12.012666,12.640666
220,11.245,24.163333,11.454666,11.413333,12.045333,12.623666
221,11.278,24.092666,11.435,11.426333,12.048666,12.667333
222,11.277333,24.112,11.412333,11.407666,12.067,12.680333
223,11.252333,24.09,11.398666,11.384666,12.036666,12.669
224,11.206333,24.111,11.398,11.376666,12.002666,12.631333
225,11.183,24.116,11.415666,11.369666,12.006,12.641333
226,11.191666,24.128,11.435,11.346,12.006666,12.661
227,11.182333,24.122666,11.426,11.334333,11.989666,12.713333
228,11.162333,24.103666,11.417,11.306,11.967,12.708666
229,11.144333,24.038,11.385666,11.318333,11.975333,12.684666
230,11.138,24.046,11.357,11.326,12.008333,12.648333
231,11.149333,24.048,11.356666,11.318666,12.011333,12.632333
232,11.178333,24.05,11.396666,11.291666,11.990666,12.629666
