,0.32 Trial 1,0.32 Trial 2,0.32 Trial 3,0.32-Triton Trial 1,0.32-Triton Trial 2,0.32-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
161,344.13,342.528666,329.139333,84.316999,75.072,82.224333
162,343.864333,342.151333,328.882,83.862666,74.719666,81.857666
163,343.613333,341.973333,328.474666,83.447333,74.349333,81.297666
164,343.267666,341.722333,328.284666,83.053999,73.988,80.840999
165,343.116,341.586,328.08,82.642666,73.723999,80.313666
166,343.063666,341.502666,327.897333,82.232666,73.403333,79.848999
167,343.078333,341.417,327.767,81.844333,73.207666,79.383666
168,343.062,341.342333,327.675666,81.483999,72.991333,78.922
169,343.010666,341.142666,327.664333,81.180333,72.751666,78.534666
170,343.007666,340.942333,327.567666,80.938666,72.431666,78.128333
171,343.023666,340.799,327.458666,80.723666,72.099999,77.726333
172,343.007333,340.716,327.358333,80.442333,71.790666,77.365999
173,342.906333,340.701,327.178666,80.032666,71.454666,76.941333
174,342.718,340.729666,326.910333,79.599999,71.110666,76.436666
175,342.603333,340.721666,326.598333,79.249,70.799666,75.961333
176,342.536333,340.531666,326.406333,78.902666,70.542999,75.559666
177,342.292666,340.088333,326.46,78.532999,70.311333,75.208666
178,342.121666,339.570333,326.559666,78.168333,70.136666,74.722333
179,341.857999,339.268333,326.531333,77.861999,70.031333,74.205666
180,341.847,339.390666,326.314666,77.532,69.919999,73.768333
181,341.724,339.506333,326.001666,77.097333,69.779333,73.332333
182,341.626333,339.588333,325.536,76.792666,69.507,72.92
183,341.572,339.397,325.430666,76.524666,69.280333,72.565666
184,341.415666,339.214333,325.289666,76.384333,69.024999,72.308333
185,341.367333,338.961,325.357333,76.146999,68.687666,72.073666
186,341.204,338.579666,325.147333,75.845999,68.362666,71.640333
187,341.332,338.315,324.821999,75.492333,68.038999,71.282333
188,341.253666,338.394333,324.705,75.194,67.977333,70.935
189,341.210666,338.516,324.648,74.913,67.836666,70.649999
190,340.872,338.821,324.7,74.724666,67.651666,70.337999
191,340.643666,338.405,324.432,74.52,67.414333,69.970999
192,340.542333,338.283,324.1,74.342666,67.198666,69.692666
193,340.416666,337.910999,323.788666,74.154,66.943666,69.333333
194,340.432666,337.943,323.609333,73.956666,66.608666,69.003333
195,340.446,337.86,323.541,73.637999,66.373666,68.590999
196,340.507333,337.88,323.51,73.284333,66.258,68.211666
197,340.264333,337.804333,323.351666,72.937666,66.067999,67.830333
198,339.828666,337.705,323.102333,72.729666,65.730666,67.426666
199,339.496333,337.503666,323.019333,72.415333,65.375333,67.006666
200,339.398666,337.401333,322.966666,72.010666,65.093999,66.584999
201,339.446666,337.294,322.881333,71.661,64.925333,66.256
202,339.566,337.255333,322.854333,71.467666,64.796333,66.008333
203,339.536333,337.170333,322.861666,71.369,64.687333,65.743666
204,339.345666,336.934333,322.719666,71.179333,64.520999,65.412333
205,339.190666,336.636,322.428333,70.851333,64.302666,65.052666
206,339.226666,336.318666,322.279,70.537333,64.112666,64.734666
207,339.500666,336.202333,322.409,70.342333,63.868333,64.456
208,339.593,336.316333,322.469666,70.220333,63.682333,64.119999
209,339.561,336.504,322.220333,70.066333,63.483333,63.696333
210,339.282666,336.475,321.833,69.799666,63.341,63.179666
211,338.964666,336.230333,321.652,69.542666,63.165333,62.618666
212,338.839333,336.192666,321.77,69.200999,62.972666,62.178666
213,338.745333,336.107333,321.816333,68.898,62.795666,61.889
214,338.850666,335.94,321.691333,68.479333,62.669,61.708333
215,338.666333,335.486,321.636333,68.193666,62.472333,61.529
216,338.466666,335.093666,321.748666,67.975333,62.178333,61.327333
217,338.32,335.082,321.601333,67.901666,61.906,61.168666
218,338.353666,335.065333,321.140333,67.732999,61.781666,61.041666
219,338.272333,335.161,320.818333,67.524333,61.741666,60.849666
220,338.114333,335.119,320.758,67.280333,61.576,60.651
221,338.047,335.078,320.787666,67.131,61.390666,60.459
222,338.049333,335.011,320.663,66.914333,61.196333,60.385666
223,338.119,335.001333,320.704333,66.696333,61.052666,60.274
224,337.886,334.818,320.753666,66.340333,60.846,60.084999
225,337.915,334.608666,320.723666,66.096666,60.709666,59.798333
226,337.728333,334.276333,320.407666,65.845666,60.607333,59.515
227,337.716,334.243,320.195666,65.699,60.517666,59.254333
228,337.493333,334.220666,319.967666,65.54,60.374666,58.962
229,337.357333,334.192666,319.927,65.353666,60.255666,58.721333
230,337.228,334.211666,319.778333,65.119,60.175,58.523666
231,337.152333,334.223,319.560666,64.898,60.111333,58.357666
232,337.104666,334.091666,319.240666,64.717666,60.007333,58.169
233,336.996333,333.725,318.984666,64.515999,59.895,57.993
234,336.830333,333.396333,318.902333,64.321,59.793333,57.822666
235,336.764,333.339333,318.819,64.153333,59.656,57.579666
236,336.858333,333.436333,318.766,63.990666,59.497,57.319
237,336.943666,333.474,318.814333,63.832333,59.332,57.111666
238,336.912666,333.350666,318.806333,63.628666,59.163999,56.879666
239,336.805,333.205,318.788,63.450333,59.097333,56.599999
240,336.807333,332.891,318.573333,63.320666,59.046333,56.33
241,336.679333,332.519333,318.554,63.225666,58.957,56.133
242,336.586666,332.424333,318.670333,63.177333,58.738333,56.042333
243,336.400666,332.488666,318.615666,63.021666,58.537666,55.907333
244,336.394666,332.408333,318.446,62.805,58.432333,55.770333
245,336.492333,332.382333,318.069333,62.569333,58.383333,55.514333
246,336.313666,332.343,317.938,62.322,58.305666,55.288
247,336.229,332.28,317.719,62.080666,58.198666,55.161333
248,335.809999,332.115,317.819666,61.745333,58.149,54.987333
249,335.797,332.098,317.554333,61.705333,57.979333,54.809
250,335.354666,332.346333,317.425666,61.648333,57.807999,54.577333
251,335.015333,332.311,317.267666,61.604666,57.59,54.451666
252,334.898333,332.069666,317.533333,61.372666,57.510333,54.276333
253,335.113666,331.752666,317.822,61.253666,57.435,54.035
254,335.303333,331.648666,317.496666,61.145,57.297666,53.776333
255,335.495666,331.519333,316.994,61.042333,57.219333,53.563666
256,335.676,331.326,316.449,60.887666,57.149666,53.361333
257,335.76,331.168,316.462666,60.726666,57.068333,53.167333
258,335.419333,331.149666,316.541666,60.441333,56.922,52.950666
259,335.255,331.204333,316.561,60.210333,56.778666,52.756
